Attribute Name                 | Example Value              | Description
-------------------------------|----------------------------|-----------------------------------------------------
lineRef                        | L1                         | The route or line reference.
directionRef                   | outbound                   | The direction of the journey.
publishedLineName              | L1                         | Human-readable name of the route.
operatorRef                    | MDEM                       | Operator code.
originRef                      | 3390VB09                   | Origin stop code.
originName                     | Travelshop                 | Human-readable name of origin.
destinationRef                 | 3390BU01                   | Destination stop code.
destinationName                | Bulwell                    | Human-readable name of destination.
journeyCode                    | 1025                       | Internal journey identifier.
ticketMachineServiceCode       | NOTTINGHAM                 | Service code used by ticket machines.
blockRef                       | 1                          | Identifier for the vehicle block.
vehicleUniqueId                | 123456                     | Unique vehicle ID.
vehicleRef                     | 123456                     | Reference to the physical vehicle.
datedVehicleJourneyRef         | L1_outbound_20240523_1025  | Unique identifier for the dated journey.
